trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.499995, 'e': 0.99999}",20,0,-90.41881695050328,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.4999850001499996, 'e': 0.9999700002999992}",25,0,-11.102963518201742,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.49997000074999015, 'e': 0.9999400014999803}",25,0,-41.72029856661784,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.4999500022499403, 'e': 0.9999000044998806}",20,0,-4.464213593821442,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.4999250052497729, 'e': 0.9998500104995458}",20,0,-208.7393865294278,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.4998950104993356, 'e': 0.9997900209986712}",20,0,-174.12250372397244,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.49986001889836285, 'e': 0.9997200377967257}",25,0,-225.73538513590643,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
8,False,"{'a': 0.4998200314964312, 'e': 0.9996400629928625}",25,0,-145.78518110943324,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.4997750494929069, 'e': 0.9995500989858138}",25,0,-147.92277717544079,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.4997250742368856, 'e': 0.9994501484737712}",35,0,-134.26654108770077,"{0: 24, 1: 2, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.4996701072271253, 'e': 0.9993402144542506}",30,0,-170.4167840843743,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.49961015011197113, 'e': 0.9992203002239423}",30,0,-162.05199309200916,"{0: 15, 1: 8, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.49954520468927316, 'e': 0.9990904093785463}",20,0,-110.30807511109487,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.4994752729062965, 'e': 0.998950545812593}",25,0,-176.70477053421774,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.49940035685962403, 'e': 0.9988007137192481}",30,0,-80.81046885650272,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.4993204587950515, 'e': 0.998640917590103}",30,0,-215.3177809570011,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
17,False,"{'a': 0.4992355811074754, 'e': 0.9984711622149508}",20,0,-105.19795210909734,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.4991457263407735, 'e': 0.998291452681547}",25,0,-101.42199294397403,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.4990508971876774, 'e': 0.9981017943753548}",25,0,-174.79342405295478,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.4989510964896385, 'e': 0.997902192979277}",20,0,-81.18973365874263,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.49884632723668554, 'e': 0.9976926544733711}",25,0,-75.59109953148511,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.4987365925672759, 'e': 0.9974731851345519}",30,0,-92.53938355843813,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
