trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.53082816289782,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.13591432724738,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.57646835191255,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-57.686477012271716,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.01966412239443,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.70075767282572,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,13,-34.259261169312715,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.86733092960975,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.56025041200675,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.71049803924909,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.08173266386025,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,12,0.8119202269809747,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,6,-75.07539120299806,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.35249870407472,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.63005433500035,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-202.57305456330369,"{0: 24, 1: 3, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,17,-94.66219341991722,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.38275341856526,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.4371497314062,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.05219316803617,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-159.61428060392143,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.2968535109908,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.857504449119,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-158.08672612940177,"{0: 14, 1: 4, 2: 11, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.10461738559387,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.36975708020958,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.186492463102,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.79308318480813,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-221.53952546453175,"{0: 9, 1: 4, 2: 9, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.78105009961027,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
